Column1;Listing;Price;SQMUP;Room Info;Area;Location;Ads
42;Ochota: Mieszkanie 2 Pokoje 37,4m2 - Twój Nowy Kąt;685000;18316;2;37.4;Ochota;Oferta prywatna
43;4-pokojowe mieszkanie 85m2 + balkon;1620984;18970;4;85.45;Wola;Inwestycja deweloperska
44;Cudowne mieszkanie Mokotów, ul. Siekierkowska;860000;19479;2;44.15;Mokotów;Biuro nieruchomości
45;Dwupokojowe mieszkanie, blisko METRO, Koneser.;475000;15781;2;30.1;Praga-Północ;Oferta prywatna
46;Unikalny apartament z dużym tarasem na Zawadach;3960000;20469;5;193.46;Wilanów;Biuro nieruchomości
47;Super lokalizacja, 2 ogródki, cisza;1450000;21014;3;69.0;Wilanów;Biuro nieruchomości
48;Wyjątkowy apartament w kameralnej inwestycji;2816250;25000;4;112.65;Wilanów;Biuro nieruchomości
49;Mieszkanie Aleja Wilanowska 364 - 57m2 / 3pok;850000;14912;3;57.0;Mokotów;Oferta prywatna
50;Penthouse w stylu loftowym;2250000;25000;3;90.0;Wilanów;Biuro nieruchomości
51;Super cena Penthouse z tarasem 200m2 i 150m2 basen;6900000;14496;8;476.0;Wilanów;Biuro nieruchomości
52;Super standard, dobra lokalizacja, cicho;2644500;21500;4;123.0;Wilanów;Biuro nieruchomości
53;Przestronne mieszkanie w dogodnej lokalizacji;1499000;15146;4;98.97;Włochy;Biuro nieruchomości
54;Cesja 2 pokojowe 48,84m2 Garaż Ursus Vita;680000;13923;2;48.84;Ursus;Biuro nieruchomości
55;Stara Ochota,59,91+pom.przynależne 7,80m , piwnica;820000;13687;2;59.91;Ochota;Biuro nieruchomości
56;2 pokoje Praga Południe, 44 m2;645000;14530;2;44.39;Praga-Południe;Oferta prywatna
57;Włochy, 5 pok. 81,14 m, 2 balkony, garaż-2 miejsca;1120000;13803;5;81.14;Włochy;Biuro nieruchomości
58;Ochota Al. Niepdległości , 2pok. 59,91 m ,piętro 4;820000;13687;2;59.91;Ochota;Biuro nieruchomości
59;4 pokoje▪️2 X balko▪️2 X parking▪️Targówek;1138000;14779;4;77.0;Targówek;Biuro nieruchomości
60;2 pokoje▪️balkon▪️garaż▪️przy Fort Wola;775000;22794;2;34.0;Wola;Biuro nieruchomości
61;Kredyt 2 %-Trzypokojowe-Bezpośrednio-Bez Prowizji!;726754;12200;3;59.57;Targówek;Biuro nieruchomości
62;Ochota, 5 pok. 81,14 m 2 balkony, garaż -2 miejsca;1120000;13803;5;81.14;Ochota;Biuro nieruchomości
63;LOFT GARDEN Wesoła ETAP II 53-97m2 apart. OGRÓDEK;998700;10229;4;97.63;Wesoła;Inwestycja deweloperska
64;Śródmieście Al. Niepodległości, 59,91 m;820000;13687;2;59.91;Ochota;Biuro nieruchomości
65;Trzypokojowe mieszkanie w Kamienicy ,Śródmieście;1399000;22031;3;63.5;Śródmieście;Biuro nieruchomości
66;Tzypokojowe mieszkanie Ursynów świetna lokalizacja;799000;11580;3;69.0;Ursynów;Biuro nieruchomości
67;Super Cena 3 pokojowe mieszkanie Ursus Niedźwiadek;599000;10363;3;57.8;Ursus;Biuro nieruchomości
68;Przestronny apartament na Mokotowie przy metrze;1699000;14041;3;121.0;Mokotów;Biuro nieruchomości
69;4 pokoje w kameralnej inwestycji na Białołęce;708658;9570;4;74.05;Białołęka;Biuro nieruchomości
70;2pokoje w kameralnym budynku na Białołęce;463664;9899;2;46.84;Białołęka;Biuro nieruchomości
71;3 pokoje w kameralnej inwestycji na Białołęce;665164;11550;3;57.59;Białołęka;Biuro nieruchomości
72;Ochota , 4 pok.77,66m komórka garaż;1300000;16740;4;77.66;Ochota;Biuro nieruchomości
73;3 pokojowe mieszkanie, Włochy, 58m;638000;11000;3;58.0;Włochy;Oferta prywatna
74;2 pokoje na Ursynowie. Loft. Kabaty.;599000;14717;2;40.7;Ursynów;Biuro nieruchomości
75;Bielany 2pok widna kuchnia taras 40m;599000;10949;2;54.71;Bielany;Biuro nieruchomości
76;Kawalerka w prestiżowej i kameralnej inwestycji;709000;22080;1;32.11;Wilanów;Oferta prywatna
77;Mieszkanie 97m Warszawa Anin;924000;9526;4;97.0;Wawer;Oferta prywatna
78;Trzy pokoje z balkonem, widok na zieleń! Metro!;884000;18041;3;49.0;Bielany;Biuro nieruchomości
79;Trzy pokoje na Woli. Dwa balkony. Lokalizacja!;1095000;14992;3;73.04;Wola;Biuro nieruchomości
80;Dwa pokoje, do własnej aranżacji;599000;10459;2;57.27;Praga-Południe;Biuro nieruchomości
81;Trzy pokoje z garderobą ul. Andersena;799000;10682;3;74.8;Bielany;Biuro nieruchomości
82;Kawalerka na Starym Żoliborzu. Po remoncie. Cicho.;997000;22920;2;43.5;Żoliborz;Biuro nieruchomości
83;Piękne mieszkanie Praga (Koneser) z wyposażeniem;678000;21871;2;31.0;Praga-Północ;Oferta prywatna
84;Włochy ,4pok. 77,66 m , garaż , komórka lokatorska;1300000;16753;4;77.6;Włochy;Biuro nieruchomości
85;Jednopokojowe 45m przy Metro Płocka;649000;14403;1;45.06;Wola;Biuro nieruchomości
86;6 Pokojowe w Apartamentowcu na Mokotowie;1559000;9225;6;169.0;Mokotów;Biuro nieruchomości
87;Czteropokojowe świeżo po remoncie - Powiśle !;2029000;19990;4;101.5;Śródmieście;Biuro nieruchomości
88;3 pokoje w Śródmieściu przy pl.Bankowym;1299000;21057;3;61.69;Śródmieście;Biuro nieruchomości
89;Do sprzedania Mieszkanie 2 pokoje 49,1m² Bielany;799000;16273;2;49.1;Bielany;Biuro nieruchomości
90;2-pokoje (52m2)⭑garderoba oraz miejsce parkingowe⭑;614000;11785;2;52.1;Białołęka;Biuro nieruchomości
91;Metro młociny - ładny widok z balkonu.;650000;14412;2;45.1;Bielany;Biuro nieruchomości
92;Muranów ~ Metro ~ Kamienica ~ Cicho ~ 2/3 pok.;850000;17000;2;50.0;Śródmieście;Biuro nieruchomości
93;2 pokoje 47m2 kamienica Dwernickiego Praga Połudn;849000;18025;2;47.1;Praga-Południe;Oferta prywatna
94;2-pok. z siłownią i sauną METRO SŁUŻEW Melody Park;835000;19881;2;42.0;Mokotów;Oferta prywatna
95;Piękny Apartament 75.50m2 Garaż Loggia Komórka;1540000;20397;3;75.5;Żoliborz;Biuro nieruchomości
96;Luksusowe i klimatyczne 3 pokoje z balkonem;990000;15128;3;65.44;Białołęka;Biuro nieruchomości
97;Spółdzielcze własnościowe Foksal 21;1650000;21290;4;77.5;Śródmieście;Biuro nieruchomości
98;Mieszkanie - Warszawa Białołęka;696000;11996;3;58.02;Białołęka;Biuro nieruchomości
99;Top lokalizacja 85m2 4pok. Natolin Małej Łąki;1190000;14000;4;85.0;Ursynów;Biuro nieruchomości
100;Nowe mieszkanie Ochota także dla Inwestora;850000;22973;2;37.0;Ochota;Oferta prywatna
101;Mieszkanie dla 4- ro osobowej rodziny;1050000;12209;4;86.0;Praga-Południe;Biuro nieruchomości
102;Mieszkanie Dwupoziomowe Do Własnej Aranżacji;1313468;11600;1;113.23;Targówek;Biuro nieruchomości
103;Luksusowy apartament 5 pokoi przy metrze.;1999000;17840;5;112.05;Bemowo;Inwestycja deweloperska
104;FUNKCJONALNE 3-pokoje BALKON IIp. ul. Ostródzka;622307;8989;3;69.23;Białołęka;Inwestycja deweloperska
105;Rozkładowe 3 pokoje! CIcha, spokojna okolica!;869000;12585;3;69.05;Praga-Południe;Biuro nieruchomości
106;Piękne mieszkanie/kawalerka na os. Wilno;635000;14733;2;43.1;Targówek;Oferta prywatna
107;~~ Ładne 4-POKOJOWE mieszkanie WAWER Falenica ~~;930540;9064;4;102.66;Wawer;Inwestycja deweloperska
108;4 pokoje, 67,9 m2, zielona i spokojna okolica.;735000;10825;4;67.9;Białołęka;Oferta prywatna
109;Mieszkanie 3:6 pokoi z dodatkowym poddaszem | C4;710000;10547;6;67.32;Wawer;Inwestycja deweloperska
110;Nowy Etap w SPRZEDAŻY Eko Park Wawer III;1039000;7599;5;136.73;Wawer;Oferta prywatna
111;DOM SKRAJNY !Twój DOM w Cenie mieszkania !;1039000;7640;4;136.0;Wawer;Oferta prywatna
112;2 pokoje na Pradze Północ przy metrze Szwedzka;690000;23000;2;30.0;Praga-Północ;Oferta prywatna
113;ZAKOŃCZONA Budowa I Odlicz 23% VAT;535000;16719;2;32.0;Ursynów;Biuro nieruchomości
114;2 pokoje | 34,4 m2 + ogródek 23,5 m2 | Strzeżone;520350;15126;2;34.4;Białołęka;Oferta prywatna
115;Dwupokojowe mieszkanie z balkonem na Mokotowie.;800000;16989;2;47.09;Mokotów;Biuro nieruchomości
116;86m2 Żoliborz *Metro* - pod mieszkanie lub biuro;1690000;19631;3;86.09;Żoliborz;Biuro nieruchomości
117;Pasaż Abrahama | nowe mieszkanie M1;886171;14527;3;61.0;Praga-Południe;Inwestycja deweloperska
118;* PRZESTRONNE 2-POKOJE z ogródkiem Płochocińska *;578149;8836;2;65.43;Białołęka;Inwestycja deweloperska
119;** ustawne 3-POKOJE + 2 BALKONY ** Płochocińska *;571697;9150;3;62.48;Białołęka;Inwestycja deweloperska
120;Natolin | 2pok. 53m | Ciche | 1/4p. | przy metrze;670000;12713;2;52.7;Ursynów;Biuro nieruchomości
121;W sercu Warszawy-100m od metra-1km od Stareg Miast;635000;21897;1;29.0;Białołęka;Oferta prywatna
122;Rozkładowe 2 pokoje z widną kuchnią na Mokotowie !;499000;13307;2;37.5;Mokotów;Biuro nieruchomości
123;Mieszkanie trzypokojowe na sprzedaż - Gumińska;1420000;22533;3;63.02;Wola;Oferta prywatna
124;Apartament w nowej kamienicy - Koszykowa 49;1290000;28277;2;45.62;Śródmieście;Biuro nieruchomości
125;Przytulne mieszkanie;805000;13284;3;60.6;Mokotów;Oferta prywatna
126;Idealne, nowoczesne, 2 pokoje, Mokotów;889000;20898;2;42.54;Mokotów;Biuro nieruchomości
127;Unikatowy penthouse z 2 tarasami -widok na Skarpę!;3400000;25185;4;135.0;Wilanów;Biuro nieruchomości
128;Super-2 pokoje-balkon-garaż;617530;16919;2;36.5;Ursynów;Biuro nieruchomości
129;Mieszkanie 3 pokojowe z ogródkiem i garażem | B1;752000;10385;3;72.41;Wesoła;Inwestycja deweloperska
130;Kawalerka na Starej Ochocie;520000;19549;1;26.6;Ochota;Oferta prywatna
131;Okazja Cenowa!!! 4P , Ciche!;760000;8059;4;94.3;Ursus;Biuro nieruchomości
132;po prostu Elegancki Apartament;1099200;15861;2;69.3;Wilanów;Oferta prywatna
133;Kawalerka na Woli -Szybki Dojazd do Centrum!!!;420000;17500;1;24.0;Wola;Biuro nieruchomości
134;Mieszkanie w kaminicy na Woli. Wysokie;455000;13788;1;33.0;Wola;Biuro nieruchomości
135;Piękny widok, klimatyzacja i 2 miejsca w hali.;2750000;25701;4;107.0;Śródmieście;Oferta prywatna
136;Nowoczesne estetyczne 4-pok | kameralna inwestycja;1950000;18140;4;107.5;Mokotów;Biuro nieruchomości
137;Unikalne 2 pokoje (53m2) w nadbudowie kamienicy;848700;16974;2;50.0;Praga-Południe;Biuro nieruchomości
138;Duże, 6-pokojowe mieszkanie w centrum Pragi;2560000;18949;6;135.1;Praga-Południe;Biuro nieruchomości
139;ROZKŁADOWE 3-pokoje na II piętrze ATRAKCYJNA cena;546753;8850;3;61.78;Białołęka;Inwestycja deweloperska
140;Mieszkanie 3 - pokojowe 62,3 m2 , piętro 3/4;730000;11717;3;62.3;Ursus;Oferta prywatna
141;Mieszkanie na Bliskiej Woli, ul. Karolkowej;1405000;25545;2;55.0;Wola;Biuro nieruchomości
142;Dwupoziomowe mieszkanie na Mokotowie;1380000;10615;4;130.0;Mokotów;Biuro nieruchomości
143;Kameralna Kawalerka Na Bemowie;599000;16189;1;37.0;Bemowo;Biuro nieruchomości
144;2 pokoje PREMIUM w kamienicy na Saskiej Kępie;799000;21890;2;36.5;Praga-Południe;Oferta prywatna
145;3 pokoje z 2 balkonami, blisko Metro!;850000;12143;3;70.0;Ursynów;Biuro nieruchomości
146;Mieszkanie 3-4 pokojowe z tarasem |M11/1 piętro;740000;8948;3;82.7;Wawer;Inwestycja deweloperska
147;Bezpieczny kredyt. Dwustronne. Inwestycyjne;799000;10377;4;77.0;Bemowo;Biuro nieruchomości
148;kabaty, Jeżewskiego, mieszkanie 4 pokoje;2000000;20000;4;100.0;Ursynów;Oferta prywatna
149;Sprzedam mieszkanie 89m2;1780000;19911;4;89.4;Mokotów;Oferta prywatna
150;Kompaktowe 3 pokoje | Gotowe do zamieszkania!;799000;15863;3;50.37;Bemowo;Biuro nieruchomości
151;Bezpośrednio 3 pokoje, Olbrachta 23, Wola;932000;15456;3;60.3;Wola;Oferta prywatna
152;Park Łazienki~4-Pokoje~Kamienica~Balkon~Parking;2450000;24747;4;99.0;Śródmieście;Biuro nieruchomości
153;Klimatyczne jasne mieszkanie z balkonem Białołęka;650000;10656;2;61.0;Białołęka;Biuro nieruchomości
154;Piękny Penthouse 155 m z własną windą;3700000;23871;5;155.0;Mokotów;Biuro nieruchomości
155;LOFT GARDEN Wesoła ETAP II 53-99m2 - apart. LOFT;998700;10009;4;99.78;Wesoła;Inwestycja deweloperska
156;Przestronne mieszkanie w cichej okolicy;969000;8652;4;112.0;Włochy;Biuro nieruchomości
157;Ciche, ustawne 2 pokoje blisko Galerii Mokotów.;569000;15731;2;36.17;Mokotów;Biuro nieruchomości
158;4 pokojowe mieszkanie w znakomitej lokalizacji;928000;12287;4;75.53;Praga-Północ;Oferta prywatna
159;BEZPOŚREDNIO – Wykończony Apartament;4100000;24699;4;166.0;Mokotów;Oferta prywatna
160;Klucze już we wrześniu 2023!;499000;13132;2;38.0;Białołęka;Biuro nieruchomości
161;CESJA! 3 pokoje, klucze już we wrześniu 2023!;630000;10753;3;58.59;Białołęka;Biuro nieruchomości
162;CESJA! 3 pokoje, klucze już we wrześniu 2023;625000;10728;3;58.26;Białołęka;Biuro nieruchomości
163;Elegancki 3pokojowy apartament na osiedlu Hubertus;1490000;16932;3;88.0;Mokotów;Biuro nieruchomości
164;Tuż przy Metrze, 2 pokoje z balkonem;573000;18190;2;31.5;Wola;Biuro nieruchomości
165;2 pokojowe mieszkanie w prestiżowej lokalizacji!;1250000;23148;2;54.0;Śródmieście;Biuro nieruchomości
166;3 pokojowe mieszkanie na Woli;962000;15954;3;60.3;Wola;Biuro nieruchomości
167;Mieszkanie Premium w kamienicy ul.Chłodna 20!;1588000;20359;3;78.0;Wola;Biuro nieruchomości
168;Wyjątkowa inwestycja, zakończenie budowy - 10.2023;830000;16275;3;51.0;Wola;Biuro nieruchomości
169;Nowoczesne mieszkanie, Dzielnica 19;1020000;29002;2;35.17;Wola;Biuro nieruchomości
170;Mieszkanie 3-pok. na osiedlu o wyjątkowym klimacie;1200000;16338;3;73.45;Mokotów;Oferta prywatna
171;Mokotów Jasny Apartament w Prestiżowej Inwestycji;850000;17210;2;49.39;Mokotów;Biuro nieruchomości
172;Stary Mokotów kawalerka 27m2;560000;20741;1;27.0;Mokotów;Biuro nieruchomości
173;Kapitalne 3 pokoje! Ursus! Do wprowadzenia!;779000;12241;3;63.64;Ursus;Biuro nieruchomości
174;* Wyjątkowy penthouse z tarasem blisko centrum *;995000;22614;2;44.0;Wola;Oferta prywatna
175;3 pokoje / Ursynów / gotówka;687000;12962;3;53.0;Ursynów;Biuro nieruchomości
176;4-POKOJOWE MIESZKANIE II piętro ul. Ostródzka;633491;8764;4;72.28;Białołęka;Inwestycja deweloperska
177;Lasek Brzozowy 12;720000;15484;2;46.5;Ursynów;Oferta prywatna
178;Anin - Blisko Centrum | Przestronne i ciche;1209000;9992;3;121.0;Wawer;Biuro nieruchomości
179;❤️ Artystyczne 3 pokoje 20 min od Centrum Warszawy;647570;9963;3;65.0;Ursus;Biuro nieruchomości
180;2 pok. 59 m2 Ul. Ząbkowska Kamienica 1930 r.;737500;12500;2;59.0;Praga-Północ;Biuro nieruchomości
181;Klimatyczny apartament w inwestycji Ażurowe Tarasy;1495000;24004;2;62.28;Mokotów;Biuro nieruchomości
182;Apartament w inwestycji Dantex Aurora;990000;16700;3;59.28;Włochy;Biuro nieruchomości
183;2 pokoje przy Lesie Kabackim 0% prowizji O% Pcc;878269;18965;2;46.31;Ursynów;Biuro nieruchomości
184;Apartament na sprzedaż na Starym Mokotowie;2880000;24000;3;120.0;Mokotów;Biuro nieruchomości
185;2 balkony | komórka | 2 msc postojowe | Metro;1495000;19770;4;75.62;Żoliborz;Biuro nieruchomości
186;4-pokojowe mieszkanie 103m2 + taras Bez Prowizji;3340440;32344;4;103.28;Mokotów;Inwestycja deweloperska
187;Przestronne M3 idealne na kredyt 2%;799000;14396;3;55.5;Praga-Południe;Biuro nieruchomości
188;Jasne * Loggia * Świetna lokalizacja * Widok;449000;14031;1;32.0;Mokotów;Biuro nieruchomości
189;Trzy pokoje na Muranowie, metro!;1150000;15753;3;73.0;Śródmieście;Biuro nieruchomości
190;Wilanów apartament 100 m2;2550000;25758;3;99.0;Wilanów;Biuro nieruchomości
191;Jasne * Po Remoncie * Narożne;699000;19971;2;35.0;Żoliborz;Biuro nieruchomości
192;Przestronne M3 na Bielanach!!!;709000;12891;3;55.0;Bielany;Biuro nieruchomości
193;Funkcjonalne mieszkanie do remontu na Rakowcu;532000;12881;2;41.3;Ochota;Biuro nieruchomości
194;Przestronne M3 na Targówku!!!;699000;11497;3;60.8;Targówek;Biuro nieruchomości
195;Piękne i ciche mieszkanie na Mokotowie;860000;20164;2;42.65;Mokotów;Biuro nieruchomości
196;Jasne I Komfortowe Dwupokojowe Mieszkanie Włochy;720000;14400;2;50.0;Włochy;Biuro nieruchomości
197;3 pokoje | 90 m2 | Śródmieście;2300000;25556;3;90.0;Ochota;Biuro nieruchomości
198;Ząbkowska | Cesja umowy | III kwartał 2024;540000;16554;2;32.62;Praga-Północ;Biuro nieruchomości
199;2 ogródki Dla rodziny, idealne do pracy zdalnej;1170000;18871;3;62.0;Wola;Biuro nieruchomości
200;3 pokoje + widna kuchnia w sercu miasta;1260000;22191;3;56.78;Śródmieście;Biuro nieruchomości
201;Kawalerka w najwyższym standardzie przy stacji Skm;600000;23529;1;25.5;Wawer;Biuro nieruchomości
202;Piękne studio z ogródkiem na saskiej Kępie;1299000;38892;2;33.4;Praga-Południe;Biuro nieruchomości
203;71 m2 | 2 Pokoje | Bliska Wola | Wysokie Piętro;2300000;32394;2;71.0;Wola;Biuro nieruchomości
204;Mieszkanie Z Unikalnym Widokiem Na Mokotowie;1350000;19662;3;68.66;Mokotów;Biuro nieruchomości
205;Mieszkanie inwestycyjne | Rewitalizowana kamienica;711405;26835;2;26.51;Śródmieście;Biuro nieruchomości
206;22 piętro, piękny widok, umeblowane, garaż;1960000;35000;2;56.0;Śródmieście;Biuro nieruchomości
207;Jasne i ciche mieszkanie na Żoliborzu Artystycznym;1690000;21667;3;78.0;Żoliborz;Biuro nieruchomości
208;Apartament z ogrodem w pobliżu Łazienek;1550000;25460;2;60.88;Śródmieście;Biuro nieruchomości
209;Żoliborz | Nieopodal parku | Miejsce parkingowe;1320000;22000;2;60.0;Żoliborz;Biuro nieruchomości
210;Apartament XVII p. z widokiem na skyline Warszawy;2070000;23000;4;90.0;Wola;Biuro nieruchomości
211;4 pokoje, 120 m2 przy Stawach Cietrzewia;1690000;13990;4;120.8;Włochy;Biuro nieruchomości
212;Mieszkanie 46 m2 w rewitalizowanej kamienicy;1401695;30073;3;46.61;Śródmieście;Biuro nieruchomości
213;2 sypialnie | Apartament na Serockiej;1340000;14180;3;94.5;Praga-Południe;Biuro nieruchomości
214;Browary Warszawskie | 2 pokoje | Wysoki standard;1990000;36235;2;54.92;Wola;Biuro nieruchomości
215;Mieszkanie w centrum biznesowym;1990000;13868;3;143.5;Wola;Biuro nieruchomości
216;Apartament XVII p. z widokiem na skyline Warszawy;1927920;24000;3;80.33;Wola;Biuro nieruchomości
217;Nowoczesna i funkcjonalna przestrzeń z ogrodem,;2330000;12777;6;182.36;Wilanów;Biuro nieruchomości
218;Apartament W Budynku Z Basenem;2100000;12575;4;167.0;Śródmieście;Biuro nieruchomości
219;0% комиссии / 2-х комнатная , Бялоленка (Тархомин);480200;13693;2;35.07;Białołęka;Biuro nieruchomości
220;BEZPOŚREDNIO Przytulne mieszkanie po remoncie;1330000;14944;4;89.0;Praga-Południe;Oferta prywatna
221;Nowe mieszkanie 42,85 m2 z ogródkiem;470000;10968;2;42.85;Białołęka;Oferta prywatna
222;Mieszkanie 2pok balkon 55m2, Wola Jana Olbrachta;932000;16915;2;55.1;Wola;Biuro nieruchomości
223;Sosnkowskiego 14 | piwnica;389000;15467;1;25.15;Ursus;Biuro nieruchomości
224;2 pokoje w kamienicy przy metrze!;660000;16500;2;40.0;Targówek;Oferta prywatna
225;Ładne mieszkanie na Gocławiu BEZPOŚREDNIO;720000;17143;2;42.0;Praga-Południe;Oferta prywatna
226;2-pokojowe mieszkanie 42m2 + loggia Bez Prowizji;937700;21981;2;42.66;Mokotów;Inwestycja deweloperska
227;Perełka inwestycyjna na Starym Mieście;1350000;27000;2;50.0;Śródmieście;Biuro nieruchomości
228;Atrakcyjne 3 pokoje i 2 balkony - Praga Południe;979000;10951;3;89.4;Praga-Południe;Biuro nieruchomości
229;Gotowe do wprowadzenia Żoliborz bez pośredników;699000;19966;2;35.01;Żoliborz;Oferta prywatna
230;Apartament 84m2,3pok, klimatyzacja ! Bez prowizji;1549000;18440;3;84.0;Mokotów;Oferta prywatna
231;Nowa kawalerka 28m2 Rytm Kabaty Garaż;569000;20850;1;27.29;Ursynów;Biuro nieruchomości
232;Ustawne mieszkanie na Gocławiu | 8min do Centrum;599000;18719;1;32.0;Praga-Południe;Biuro nieruchomości
233;Ursus - Gotowe do zamieszkania w kredycie 2%;737000;14799;2;49.8;Ursus;Biuro nieruchomości
234;Okazja! Mokotów-Wierzbno - 2 pokoje, balkon,Metro;550000;15278;2;36.0;Mokotów;Biuro nieruchomości
235;Kawalerka, Pl Zawiszy;419000;26188;1;16.0;Ochota;Biuro nieruchomości
236;2 pokojowe mieszkanie z oddzielną kuchnią;649000;16368;2;39.65;Ochota;Biuro nieruchomości
237;Naturalnie Aluzyjna - ekologiczne budownictwo - 2%;694407;12900;3;53.83;Białołęka;Biuro nieruchomości
238;Dwupoziomowe//Kamienica//3m H//300m Plac Wilsona;2455000;19959;5;123.0;Żoliborz;Biuro nieruchomości
239;Nowoczesne mieszkanie z balkonem na Żoliborzu!;1100000;19964;2;55.1;Żoliborz;Biuro nieruchomości
240;Tramwaj 200m- Wum 1km- Balkon- 2 oddzielne pokoje;549000;14379;2;38.18;Ochota;Biuro nieruchomości
241;Willa Fiore | nowy apartament nr 2;2880000;23022;4;125.1;Bielany;Inwestycja deweloperska
242;Nowe 3 pokoje 76m2 Rytm Kabaty Garaż;1375000;18047;3;76.19;Ursynów;Biuro nieruchomości
243;Dwa Pokoje W Centrum;674000;18619;2;36.2;Śródmieście;Biuro nieruchomości
